"make","model","colour","capacity","network","grade","condition","count"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",90
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",91
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",92
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",93
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",94
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",95
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",96
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",97
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",98
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",99
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",100
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",101
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",102
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",103
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",104
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",105
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",106
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",107
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",108
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",109
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",110
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",111
